entry_key,npc_guid,scene_id,scene_x,scene_z,scene_name_key,static_id,npc_name_key,sign_content_key,sign_icon_id,icon1,icon2,is_interactive
10101023,10101023,1010,-21.7,-64.51,NpcName61041,61041,MapNpcName10101023,,,icon_eggs,icon_eggs_L,1
10101024,10101024,1010,-28.5,-64.69,装备扭蛋机,61023,MapNpcName10101024,,,icon_eggs,icon_eggs_L,1
10101025,10101025,1010,-16.06,-64.51,NpcName61040,61040,MapNpcName10101025,,,icon_eggs,icon_eggs_L,1
10101026,10101026,1010,-11.39,105.46,NpcName61043,61043,MapNpcName10101026,,,icon_battle,icon_battle_L,1
10101027,10101027,1010,34.48,108.25,NpcName61044,61044,MapNpcName10101027,,,icon_LeaseCar,icon_LeaseCar_L,1
10101028,10101028,1010,72.48,-32.49,NpcName60000,61047,MapNpcName10101028,,,icon_pets,icon_pets_L,1
10101029,10101029,1010,-63.92,-91.91,NpcName61077,61077,NpcName61077,,,,,1
10101030,10101030,1010,42.4,19.93,NpcName61051,61051,MapNpcName10101030,,,icon_weapon,icon_weapon_L,1
10101031,10101031,1010,42.61,16.23,NpcName61052,61052,MapNpcName10101031,,,icon_armor,icon_armor_L,1
10101032,10101032,1010,-27.38,-48.95,NpcName61053,61053,MapNpcName10101032,,,icon_FairyLand,icon_FairyLand_L,1
10101033,10101033,1010,-14.14,17.92,NpcName61063,61063,MapNpcName10101033,,,icon_Enchanting,icon_Enchanting_L,1
10101034,10101034,1010,-17.44,14.28,NpcName61064,61064,MapNpcName10101034,,,icon_Enchanting,icon_Enchanting_L,1
10101035,10101035,1010,-72.08,-49.49,NpcName61113,61113,MapNpcName10101035,,,icon_BattleStore,icon_BattleStore_L,1
10101038,10101038,1010,-75.79,26.39,NpcName61116,61116,MapNpcName10101038,,,icon_EnDeStore,icon_EnDeStore_L,0
10101039,10101039,1010,-19.15,-64.41,技能书扭蛋机,61079,NpcName61079,,,icon_eggs,icon_eggs_L,1
10101040,10101040,1010,-70.97,-14.13,NpcName61080,61080,MapNpcName10101040,,,icon_weapon,icon_weapon_L,1
10101041,10101041,1010,-70.62,-18.91,NpcName61081,61081,MapNpcName10101041,,,icon_armor,icon_armor_L,1
10101042,10101042,1010,-72.47,-25.66,NpcName61082,61082,MapNpcName10101042,,,icon_FairyLand,icon_FairyLand_L,1
10101043,10101043,1010,-49.14,-113.66,NpcName61096,61096,MapNpcName10101043,,,icon_Enchanting,icon_Enchanting_L,1
10101045,10101045,1010,71.19,-50.84,NpcName61112,61112,MapNpcName10101045,,,icon_tower,icon_tower_L,1
10101046,10101046,1010,29.97,-99.3,初级MVP武器改良,61133,MapNpcName10101046,,,icon_weapon,icon_weapon_L,1
10101048,10101048,1010,29.92,-110.43,初级mini饰品改良,61135,MapNpcName10101048,,,icon_FairyLand,icon_FairyLand_L,1
10101050,10101050,1010,-43.71,-41.42,普隆德拉头饰商人,61138,MapNpcName10101050,,,icon_HeadMake,icon_HeadMake_L,1
10101051,10101051,1010,,,,61144,NpcName61144,,,icon_HeadMake,icon_HeadMake_L,1
10101052,10101052,1010,,,,61146,MapNpcName10101052,,,icon_Guild,icon_Guild_L,1
10101053,10101053,1010,,,,61151,MapNpcName10101053,,,icon_trader,icon_trader_L,1
10101055,10101055,1010,,,,61166,MapNpcName10101055,,,icon_Dress,icon_Dress_L,1
10101056,10101056,1010,,,,61167,MonsterName10132,,,,,1
10101057,10101057,1010,,,,61172,NpcName61172,,,,,1
10101058,10101058,1010,,,,61171,NpcName61172,,,,,1
10101059,10101059,1010,,,,61175,MapNpcName10101059,,,icon_tranfer,icon_tranfer_L,1
10101060,10101060,1010,,,,61176,MapNpcName10101060,,,icon_tranfer,icon_tranfer_L,1
10101062,10101062,1010,,,,61211,MapNpcName10101062,,,icon_tranfer,icon_tranfer_L,1
10101063,10101063,1010,,,,61213,MapNpcName10101063,,,icon_prop,icon_prop_L,1
10101064,10101064,1010,,,,61213,MapNpcName10101063,,,icon_prop,icon_prop_L,1
10101065,10101065,1010,,,,61217,NpcName61217,,,,,1
10101066,10101066,1010,,,,61213,MapNpcName10101063,,,icon_prop,icon_prop_L,1
10101067,10101067,1010,,,,61218,MapNpcName10101067,,,icon_prop,icon_prop_L,1
10101068,10101068,1010,,,,61219,MapNpcName10101068,,,icon_prop,icon_prop_L,1
10101069,10101069,1010,,,,61220,MapNpcName10101069,,,icon_tranfer,icon_tranfer_L,1
10101070,10101070,1010,,,,61221,MapNpcName10101070,,,icon_service,icon_service_L,1
10101071,10101071,1010,,,,62243,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101072,10101072,1010,,,,62254,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101073,10101073,1010,,,,62255,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101074,10101074,1010,,,,62256,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101075,10101075,1010,,,,62257,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101076,10101076,1010,,,,62258,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101077,10101077,1010,,,,62259,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101078,10101078,1010,,,,62260,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101079,10101079,1010,,,,62261,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101080,10101080,1010,,,,62254,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101081,10101081,1010,,,,62255,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101082,10101082,1010,,,,62256,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101083,10101083,1010,,,,62257,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101084,10101084,1010,,,,62258,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101085,10101085,1010,,,,62259,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101086,10101086,1010,,,,62260,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101087,10101087,1010,,,,62261,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101088,10101088,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101089,10101089,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101090,10101090,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101091,10101091,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101092,10101092,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101093,10101093,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101094,10101094,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101095,10101095,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101096,10101096,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101097,10101097,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101098,10101098,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101099,10101099,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101100,10101100,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101101,10101101,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101102,10101102,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101103,10101103,1010,,,,62253,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,0
10101104,10101104,1010,,,,61247,MapNpcName10101104,,,icon_prop,icon_prop_L,1
10101105,10101105,1010,,,,61248,MapNpcName10101105,,,icon_prop,icon_prop_L,1
10101106,10101106,1010,,,,61261,MapNpcName612611,,,icon_prop,icon_prop_L,1
10101107,10101107,1010,,,,61262,MapNpcName61262,,,icon_prop,icon_prop_L,1
10101108,10101108,1010,,,,61263,MapNpcName61263,,,icon_prop,icon_prop_L,1
10101109,10101109,1010,,,,61267,MapNpcName61267,,,icon_Dress,icon_Dress_L,1
10101110,10101110,1010,,,,61264,MapNpcName10101110,,,icon_prop,icon_prop_L,1
10101111,10101111,1010,,,,61269,MapNpcName10101111,,,icon_prop,icon_prop_L,1
10101112,10101112,1010,,,,61270,MapNpcName61270,,,icon_prop,icon_prop_L,1
10101113,10101113,1010,,,,61924,MapNpcName10101013,,,icon_entrust,icon_entrust_L,1
10101114,10101114,1010,,,,61925,MapNpcName10101013,,,icon_prop,icon_prop_L,0
10101115,10101115,1010,,,,61273,MapNpcName61273,,,icon_prop,icon_prop_L,0
10101116,10101116,1010,,,,61274,MapNpcName61274,,,icon_prop,icon_prop_L,1
10101117,10101117,1010,,,,61265,MapNpcName10101117,,,icon_prop,icon_prop_L,1
10101118,10101118,1010,,,,61266,MapNpcName10101118,,,icon_prop,icon_prop_L,1
10101119,10101119,1010,,,,62266,MapNpcName10101119,,,icon_prop,icon_prop_L,1
10101120,10101120,1010,,,,62272,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101121,10101121,1010,,,,62273,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101122,10101122,1010,,,,62274,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101123,10101123,1010,,,,62275,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101124,10101124,1010,,,,62276,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101125,10101125,1010,,,,62277,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101126,10101126,1010,,,,62278,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101127,10101127,1010,,,,62279,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101128,10101128,1010,,,,61307,NpcName61307,,,icon_prop,icon_prop_L,1
10101130,10101130,1010,,,,61320,Sign61320,,,icon_NPC_0,icon_NPC_0_L,1
10101131,10101131,1010,,,,61321,NpcName61321,,,icon_NPC_0,icon_NPC_0_L,0
10101132,10101132,1010,,,,62286,,,,,,1
10101133,10101133,1010,,,,62287,,,,,,1
10101134,10101134,1010,,,,62288,,,,,,1
10101135,10101135,1010,,,,62289,,,,,,1
10101136,10101136,1010,,,,62290,,,,,,1
10101137,10101137,1010,,,,62291,,,,,,1
10101138,10101138,1010,,,,62292,,,,,,1
10101147,10101147,1010,,,,62285,,,,,,1
10101148,10101148,1010,,,,61323,NpcName61323,,,icon_NPC_0,icon_NPC_0_L,1
10101150,10101150,1010,,,,61220,Sign612201,,,icon_tranfer,icon_tranfer_L,1
10101151,10101151,1010,,,,61221,Sign612211,,,icon_service,icon_service_L,1
10101152,10101152,1010,,,,61325,NpcName61325,,,icon_eggs,icon_eggs_L,1
10101153,10101153,1010,,,,61932,NpcName61932,,,icon_NPC_0,icon_NPC_0_L,1
10101154,10101154,1010,,,,61933,NpcName61933,,,icon_NPC_0,icon_NPC_0_L,1
10101155,10101155,1010,,,,61934,NpcName61934,,,icon_NPC_0,icon_NPC_0_L,1
10101156,10101156,1010,,,,61935,NpcName61935,,,icon_NPC_0,icon_NPC_0_L,1
10101157,10101157,1010,,,,61936,NpcName61936,,,icon_eggs,icon_eggs_L,1
10101166,10101166,1010,,,,61937,NpcName61937,,,icon_NPC_0,icon_NPC_0_L,1
10101167,10101167,1010,,,,61939,Sign619392,,,icon_NPC_0,icon_NPC_0_L,1
10101173,10101173,1010,,,,61954,NpcName61954,,,,,1
10101174,10101174,1010,,,,61954,NpcName61954,,,,,1
10101175,10101175,1010,,,,61967,MapNpcName10201004,,,,,1
10101176,10101176,1010,,,,61968,MapNpcName10201005,,,,,1
10101177,10101177,1010,,,,61972,NpcName61972,,,,,1
10101178,10101178,1010,,,,61973,NpcName61973,,,,,1
10101179,10101179,1010,,,,61974,NpcName61974,,,,,1
10101180,10101180,1010,,,,61975,NpcName61975,,,,,1
10101182,10101182,1010,,,,61977,NpcName120350,,,,,1
10101183,10101183,1010,,,,61978,NpcName120350,,,,,1
10101184,10101184,1010,,,,61979,NpcName120350,,,,,1
10101185,10101185,1010,,,,61104,MapNpcName11801035,,,icon_CrystalStore,icon_CrystalStore_L,1
10101186,10101186,1010,,,,61980,Sign61980,,,,,1
10101187,10101187,1010,,,,61039,NpcName61039,,,icon_FairyLand,icon_FairyLand_L,1
10101188,10101188,1010,,,,61981,NpcName61981,,,,,1
10101197,10101197,1010,,,,62352,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101198,10101198,1010,,,,62351,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101199,10101199,1010,,,,62350,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101200,10101200,1010,,,,62349,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101201,10101201,1010,,,,62348,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101202,10101202,1010,,,,62347,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101203,10101203,1010,,,,62346,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101204,10101204,1010,,,,62345,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101205,10101205,1010,,,,61982,NpcName61982,,,,,1
10101215,10101215,1010,,,,61984,NpcName61984,,,,,1
10101216,10101216,1010,,,,61985,NpcName61985,,,icon_eggs,icon_eggs_L,1
10101217,10101217,1010,,,,61988,NpcName61988,,,icon_eggs,icon_eggs_L,1
10101218,10101218,1010,,,,61987,NpcName61987,,,icon_NPC_0,icon_NPC_0_L,1
10101219,10101219,1010,,,,61986,NpcName61986,,,icon_NPC_0,icon_NPC_0_L,1
10101220,10101220,1010,,,,62369,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101221,10101221,1010,,,,62368,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101222,10101222,1010,,,,62367,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101223,10101223,1010,,,,62366,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101224,10101224,1010,,,,62365,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101225,10101225,1010,,,,62364,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101226,10101226,1010,,,,62363,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101227,10101227,1010,,,,62362,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101236,10101236,1010,,,,62378,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101237,10101237,1010,,,,62379,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101238,10101238,1010,,,,62380,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101239,10101239,1010,,,,62381,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101240,10101240,1010,,,,62382,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101241,10101241,1010,,,,62383,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101242,10101242,1010,,,,62384,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101243,10101243,1010,,,,62385,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101252,10101252,1010,,,,61348,NpcName61348,,,icon_NPC_0,icon_NPC_0_L,1
10101253,10101253,1010,,,,61349,NpcName61349,,,icon_NPC_0,icon_NPC_0_L,1
10101254,10101254,1010,,,,61995,NpcName61995,,,icon_eggs,icon_eggs_L,1
10101263,10101263,1010,,,,61996,NpcName61996,,,icon_eggs,icon_eggs_L,1
10101272,10101272,1010,,,,62410,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101273,10101273,1010,,,,62411,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101274,10101274,1010,,,,62412,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101275,10101275,1010,,,,62413,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101276,10101276,1010,,,,62414,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101277,10101277,1010,,,,62415,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101278,10101278,1010,,,,62416,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10101279,10101279,1010,,,,62417,MapNpcName10101071,,,icon_Enchanting,icon_Enchanting_L,1
10102001,10102001,1010,21.51,9.64,琪琪（出生点）,62007,NpcName62007,,,,,1
10102002,10102002,1010,22.63,7.86,学院手册,65001,NpcName65001,,,,,1
10102003,10102003,1010,-1.4,-13.77,琪琪（喷泉旁）,62007,NpcName62007,,,,,1
10102004,10102004,1010,7.08,-76.31,琪琪（南门路口）,62007,NpcName62007,,,,,1
10102005,10102005,1010,0.04,9.82,阿坎德（喷泉处）,62017,NpcName62017,,,,,1
10102006,10102006,1010,-2.97,8.33,军备宝箱,65011,NpcName65011,,,,,1
10102007,10102007,1010,-2.16,9.87,炼金装置,65014,NpcName65014,,,,,1
10102008,10102008,1010,76.9,112.34,小男孩（墓地）,63009,NpcName63009,,,,,1
10102009,10102009,1010,-0.17,136.68,伯纳德（皇宫前）,62026,NpcName62026,,,,,1
10102010,10102010,1010,2.43,137.8,阿坎德（皇宫前）,62017,NpcName62017,,,,,1
10102011,10102011,1010,2.41,134.59,海陆曼（伯纳德旁）,62010,NpcName62010,,,,,1
10102015,10102015,1010,-70.25,18.29,工具箱,65023,NpcName65023,,,,,1
10102016,10102016,1010,-4.34,62.49,沃尔玛斯,62015,NpcName62015,,,,,1
10102017,10102017,1010,-62.18,105.78,罗德尼,62029,NpcName62029,,,,,1
10102018,10102018,1010,-2.13,62.77,海陆曼（神像下）,62010,NpcName62010,,,,,1
10102019,10102019,1010,1.98,63.03,伯纳德（神像下）,62026,NpcName62026,,,,,1
10102020,10102020,1010,-7.11,74.34,维罗妮卡,62024,NpcName62024,,,,,1
10102021,10102021,1010,,,,62009,NpcName62009,,,,,1
10102022,10102022,1010,,,,62001,NpcName62001,,,,,1
10102023,10102023,1010,,,,62003,NpcName62003,,,,,1
10102024,10102024,1010,,,,64194,MapNpcName10101060,,,,,1
10102025,10102025,1010,,,,64193,MapNpcName10101059,,,,,1
10103001,10103001,1010,-64.96,99.62,骑士团长海陆曼,62010,MapNpcName10103001,,,icon_NPC_0,icon_NPC_0_L,1
10103002,10103002,1010,-71.17,96.63,NpcName62012,62012,MapNpcName10103002,,,icon_NPC_0,icon_NPC_0_L,1
10103003,10103003,1010,48.6,83.3,NpcName62015,62015,MapNpcName10103003,,,icon_Guild,icon_Guild_L,1
10103008,10103008,1010,-51.39,120.03,NpcName62014,62014,MapNpcName10103008,,,icon_pets,icon_pets_L,1
10103009,10103009,1010,-40.99,45.21,NpcName62036,62036,MapNpcName10103009,,,icon_pets,icon_pets_L,1
10104006,10104006,1010,8.99,-63.88,都城守卫,64568,NpcName64568,,,,,1
10104018,10104018,1010,-58.54,-9.45,都城守卫,64568,NpcName60003,,,,,1
10105099,10105099,1010,11.22,-89.54,NpcName62130,62130,MapNpcName10105099,,,icon_pets,icon_pets_L,1
10106001,10106001,1010,82.81,112.48,维罗妮卡,62024,MapNpcName10106001,,,icon_NPC_0,icon_NPC_0_L,1
10106002,10106002,1010,-88.88,21.66,杰克,62028,MapNpcName10106002,,,icon_NPC_0,icon_NPC_0_L,1
10106003,10106003,1010,-70.2,15.69,查理,62034,MapNpcName10106003,,,icon_NPC_0,icon_NPC_0_L,1
10106005,10106005,1010,67.37,-124.49,NpcName60000,62026,MapNpcName10106005,,,icon_NPC_0,icon_NPC_0_L,1
10106007,10106007,1010,86.76,31.02,NpcName60000,67015,MapNpcName10106007,,,icon_NPC_0,icon_NPC_0_L,1
10106008,10106008,1010,61.06,80.75,NpcName60000,67014,MapNpcName10106008,,,icon_NPC_0,icon_NPC_0_L,1
10106009,10106009,1010,71.65,41.04,NpcName60000,67016,MapNpcName10106009,,,icon_NPC_0,icon_NPC_0_L,1
10106010,10106010,1010,-41.38,26.37,NpcName60000,67017,MapNpcName10106010,,,icon_NPC_0,icon_NPC_0_L,1
10106011,10106011,1010,-47.78,-118.13,NpcName60000,67019,MapNpcName10106011,,,icon_NPC_0,icon_NPC_0_L,1
10106012,10106012,1010,-82.73,-73.87,NpcName60000,67021,MapNpcName10106012,,,icon_NPC_0,icon_NPC_0_L,1
10106013,10106013,1010,46.07,92.72,玛嘉雷特,62084,NpcName62084,,,icon_NPC_0,icon_NPC_0_L,1
10106014,10106014,1010,84.26,95.96,帕尼,62085,NpcName62085,,,icon_NPC_0,icon_NPC_0_L,1
10106015,10106015,1010,-2.88,139.72,王宫守卫,62086,NpcName62086,,,icon_NPC_0,icon_NPC_0_L,1
10106016,10106016,1010,63.59,-124.61,阿坎德（常驻）,62017,NpcName62017,,,icon_NPC_0,icon_NPC_0_L,1
10106017,10106017,1010,73.25,-102.62,卫兵1-格伦,62090,NpcName62090,,,icon_NPC_0,icon_NPC_0_L,1
10106018,10106018,1010,73.27,-100.42,卫兵2-爱德华,62091,NpcName62091,,,icon_NPC_0,icon_NPC_0_L,1
10106019,10106019,1010,-9.74,3.18,摩尔托斯,62023,NpcName62023,,,icon_NPC_0,icon_NPC_0_L,1
10106020,10106020,1010,,,,62168,NpcName62090,,,icon_NPC_0,icon_NPC_0_L,1
10106021,10106021,1010,,,,62106,NpcName62106,,,icon_NPC_0,icon_NPC_0_L,1
10106022,10106022,1010,,,,62015,NpcName62015,,,,,1
10106023,10106023,1010,,,,64491,NpcName64491,,,,,1
10106024,10106024,1010,,,,64494,NpcName64494,,,,,1
10106025,10106025,1010,,,,64495,NpcName64495,,,,,1
10106026,10106026,1010,,,,64499,NpcName64499,,,,,1
10107001,10107001,1010,-37.41,36.42,帕尼,62085,NpcName62085,,,,,1
10107002,10107002,1010,77.85,12.16,侍从的妻子,64002,NpcName64002,,,,,1
10107003,10107003,1010,91.6,15.33,侍从的妻子,64002,NpcName64002,,,,,1
10107004,10107004,1010,45.96,86.22,斯诺,64010,NpcName64010,,,,,1
10107005,10107005,1010,-2.87,106.21,艾伦斯特,64015,NpcName64015,,,,,1
10107006,10107006,1010,67.25,-120.44,菲兹,62018,NpcName62018,,,,,1
10107007,10107007,1010,69.82,-122.62,西蒙斯,62022,NpcName62022,,,,,1
10107008,10107008,1010,61.72,-122.68,波尔,64017,NpcName64017,,,,,1
10107009,10107009,1010,69.75,-120.25,斯诺,64010,NpcName64010,,,,,1
10107010,10107010,1010,61.55,-120.38,维罗妮卡,62024,NpcName62024,,,,,1
10107011,10107011,1010,74.3,120.59,NpcName65047,65047,NpcName65047,,,,,1
10107013,10107013,1010,,,,64191,NpcName64191,,,,,1
10107014,10107014,1010,,,,62170,NpcName62170,,,,,1
10107015,10107015,1010,,,,64205,NpcName64205,,,,,1
10107016,10107016,1010,,,,64209,NpcName64209,,,,,1
10107017,10107017,1010,,,,64210,NpcName64210,,,,,1
10107018,10107018,1010,,,,64211,,,,,,1
10107019,10107019,1010,,,,62035,NpcName62035,,,,,1
10107020,10107020,1010,,,,64210,NpcName64210,,,,,1
10107021,10107021,1010,,,,62085,NpcName62085,,,,,1
10107022,10107022,1010,,,,62171,NpcName62171,,,,,1
10107023,10107023,1010,,,,62106,NpcName62106,,,,,1
10107024,10107024,1010,,,,64288,NpcName64288,,,,,1
10107025,10107025,1010,,,,64289,NpcName64289,,,,,1
10107026,10107026,1010,,,,62083,NpcName62083,,,,,1
10107027,10107027,1010,,,,61245,NpcName61245,,,,,1
10107028,10107028,1010,,,,64492,NpcName64492,,,,,1
10107029,10107029,1010,,,,64493,NpcName64493,,,,,1
10107030,10107030,1010,,,,64492,NpcName64492,,,,,1
10107031,10107031,1010,,,,65361,NpcName65361,,,,,1
10107032,10107032,1010,,,,64512,NpcName64511,,,\n,\n,1
10107033,10107033,1010,,,,62084,NpcName62084,,,0,0,1
10107034,10107034,1010,,,,62106,NpcName62106,,,,,1
10107035,10107035,1010,,,,62106,NpcName62106,,,,,1
10107036,10107036,1010,,,,62106,NpcName62106,,,,,1
10107037,10107037,1010,,,,65369,NpcName65367,,,,,1
10107038,10107038,1010,,,,62171,NpcName62171,,,,,1
10107063,10107063,1010,,,,64619,NpcName62171,,,,,1
10107064,10107064,1010,,,,62106,NpcName62106,,,,,1
10107065,10107065,1010,,,,64619,NpcName62171,,,,,1
10107066,10107066,1010,,,,64619,NpcName62171,,,,,1
10107067,10107067,1010,,,,64619,NpcName62171,,,,,1
10107073,10107073,1010,,,,61290,NpcName61290,,,,,1
10107074,10107074,1010,,,,61305,NpcName61289,,,,,1
10107077,10107077,1010,,,,61289,NpcName61289,,,,,1
10107078,10107078,1010,,,,64814,NpcName64814,,,,,1
